Date,Trades,Wins,Losses,Win %,P&L,Avg P&L
2025-01-02,19,8,11,42.1%,"$1,026.86",$54.05
2025-01-03,5,3,2,60.0%,$629.79,$125.96
2025-01-06,11,6,5,54.5%,"$1,291.04",$117.37
2025-01-07,19,7,12,36.8%,$627.98,$33.05
2025-01-08,11,6,5,54.5%,$869.16,$79.01
2025-01-10,17,8,9,47.1%,"$1,234.22",$72.60
2025-01-13,11,5,6,45.5%,$419.02,$38.09
2025-01-14,15,9,6,60.0%,"$1,441.30",$96.09
2025-01-15,13,6,7,46.2%,$978.88,$75.30
2025-01-16,18,7,11,38.9%,$854.18,$47.45
2025-01-17,12,5,7,41.7%,$212.43,$17.70
2025-01-20,4,0,4,0.0%,$-203.85,$-50.96
2025-01-21,10,6,4,60.0%,$630.55,$63.05
2025-01-22,10,3,7,30.0%,$130.15,$13.01
2025-01-23,11,3,8,27.3%,$164.08,$14.92
2025-01-24,17,8,9,47.1%,"$1,404.34",$82.61
2025-01-27,15,10,5,66.7%,"$1,380.13",$92.01
2025-01-28,19,8,11,42.1%,$506.75,$26.67
2025-01-29,11,4,7,36.4%,$-122.73,$-11.16
2025-01-30,10,6,4,60.0%,$914.29,$91.43
2025-01-31,13,4,9,30.8%,$318.88,$24.53
2025-02-03,19,10,9,52.6%,"$1,207.69",$63.56
2025-02-04,13,3,10,23.1%,$-149.93,$-11.53
2025-02-05,9,6,3,66.7%,"$1,330.25",$147.81
2025-02-06,6,2,4,33.3%,$259.60,$43.27
2025-02-07,9,3,6,33.3%,$-48.34,$-5.37
2025-02-10,7,0,7,0.0%,$-462.70,$-66.10
2025-02-11,5,2,3,40.0%,$432.83,$86.57
2025-02-12,14,5,9,35.7%,$428.04,$30.57
2025-02-13,12,6,6,50.0%,"$1,217.59",$101.47
2025-02-14,6,1,5,16.7%,$-243.39,$-40.56
2025-02-17,4,0,4,0.0%,$-214.82,$-53.70
2025-02-18,13,4,9,30.8%,$263.85,$20.30
2025-02-19,3,1,2,33.3%,$150.51,$50.17
2025-02-20,5,3,2,60.0%,$356.04,$71.21
2025-02-21,10,8,2,80.0%,"$1,639.43",$163.94
2025-02-24,8,7,1,87.5%,"$1,749.51",$218.69
2025-02-25,18,11,7,61.1%,"$1,239.09",$68.84
2025-02-26,15,10,5,66.7%,"$1,898.93",$126.60
2025-02-27,15,10,5,66.7%,"$1,908.89",$127.26
2025-02-28,15,8,7,53.3%,$828.60,$55.24
2025-03-03,11,4,7,36.4%,$154.91,$14.08
2025-03-04,19,10,9,52.6%,"$1,054.24",$55.49
2025-03-05,13,8,5,61.5%,"$1,155.87",$88.91
2025-03-06,6,5,1,83.3%,"$1,503.75",$250.63
2025-03-07,12,7,5,58.3%,$600.83,$50.07
2025-03-10,24,11,13,45.8%,$587.97,$24.50
2025-03-11,21,11,10,52.4%,"$1,819.17",$86.63
2025-03-12,17,10,7,58.8%,"$1,436.54",$84.50
2025-03-13,11,6,5,54.5%,$856.55,$77.87
2025-03-14,16,7,9,43.8%,"$1,043.64",$65.23
2025-03-17,7,4,3,57.1%,$302.76,$43.25
2025-03-18,10,5,5,50.0%,$969.71,$96.97
2025-03-19,20,13,7,65.0%,"$2,375.03",$118.75
2025-03-20,15,6,9,40.0%,$757.69,$50.51
2025-03-21,16,10,6,62.5%,"$2,240.10",$140.01
2025-03-24,6,2,4,33.3%,$54.68,$9.11
2025-03-25,7,3,4,42.9%,$309.13,$44.16
2025-03-26,9,5,4,55.6%,$691.40,$76.82
2025-03-27,19,9,10,47.4%,"$1,033.48",$54.39
2025-03-28,13,6,7,46.2%,"$1,093.93",$84.15
2025-03-31,20,10,10,50.0%,$678.47,$33.92
2025-04-01,16,8,8,50.0%,$937.65,$58.60
2025-04-02,23,15,8,65.2%,"$3,210.90",$139.60
2025-04-03,18,9,9,50.0%,"$1,186.24",$65.90
2025-04-04,27,14,13,51.9%,"$1,165.11",$43.15
2025-04-07,9,5,4,55.6%,$714.14,$79.35
2025-04-08,21,8,13,38.1%,$-256.99,$-12.24
2025-04-09,24,17,7,70.8%,"$5,665.78",$236.07
2025-04-10,21,11,10,52.4%,"$1,572.10",$74.86
2025-04-11,20,10,10,50.0%,$497.00,$24.85
2025-04-14,22,14,8,63.6%,"$2,079.45",$94.52
2025-04-15,7,4,3,57.1%,$730.04,$104.29
2025-04-16,14,8,6,57.1%,"$1,169.72",$83.55
2025-04-17,19,10,9,52.6%,"$1,551.12",$81.64
2025-04-21,19,10,9,52.6%,"$1,405.13",$73.95
2025-04-22,13,7,6,53.8%,$434.88,$33.45
2025-04-23,16,8,8,50.0%,$824.50,$51.53
2025-04-24,15,8,7,53.3%,$985.35,$65.69
2025-04-25,9,4,5,44.4%,$316.43,$35.16
2025-04-28,12,7,5,58.3%,"$1,333.16",$111.10
2025-04-29,12,4,8,33.3%,$41.18,$3.43
2025-04-30,15,5,10,33.3%,$125.16,$8.34
2025-05-01,6,4,2,66.7%,$853.17,$142.20
2025-05-02,10,6,4,60.0%,$955.03,$95.50
2025-05-05,7,5,2,71.4%,$959.22,$137.03
2025-05-06,15,7,8,46.7%,"$1,041.39",$69.43
2025-05-07,13,4,9,30.8%,$-399.42,$-30.72
2025-05-08,13,6,7,46.2%,$532.58,$40.97
2025-05-09,9,5,4,55.6%,$732.06,$81.34
2025-05-12,9,3,6,33.3%,$261.07,$29.01
2025-05-13,11,4,7,36.4%,$552.82,$50.26
2025-05-14,9,4,5,44.4%,$436.87,$48.54
2025-05-15,10,4,6,40.0%,$673.06,$67.31
2025-05-16,5,1,4,20.0%,$-87.27,$-17.45
2025-05-19,11,3,8,27.3%,$10.78,$0.98
2025-05-20,5,3,2,60.0%,$463.33,$92.67
2025-05-21,17,5,12,29.4%,$-199.60,$-11.74
2025-05-22,10,7,3,70.0%,"$1,775.97",$177.60
2025-05-23,14,7,7,50.0%,$676.50,$48.32
2025-05-26,2,0,2,0.0%,$-79.20,$-39.60
2025-05-27,5,3,2,60.0%,$544.32,$108.86
2025-05-28,4,2,2,50.0%,$79.89,$19.97
2025-05-29,15,11,4,73.3%,"$2,186.36",$145.76
2025-05-30,7,4,3,57.1%,$591.31,$84.47
2025-06-02,10,6,4,60.0%,$901.14,$90.11
2025-06-03,6,2,4,33.3%,$328.78,$54.80
2025-06-04,7,2,5,28.6%,$-368.02,$-52.57
2025-06-05,6,1,5,16.7%,$-404.93,$-67.49
2025-06-06,5,4,1,80.0%,$957.84,$191.57
2025-06-09,3,1,2,33.3%,$149.28,$49.76
2025-06-10,9,5,4,55.6%,$869.18,$96.58
2025-06-11,8,4,4,50.0%,$421.39,$52.67
2025-06-12,12,3,9,25.0%,$-165.13,$-13.76
2025-06-13,6,4,2,66.7%,$502.72,$83.79
2025-06-16,6,3,3,50.0%,$352.07,$58.68
2025-06-17,9,3,6,33.3%,$342.54,$38.06
2025-06-18,10,5,5,50.0%,$950.59,$95.06
2025-06-19,4,0,4,0.0%,$-406.34,$-101.59
2025-06-20,11,5,6,45.5%,$708.74,$64.43
2025-06-23,8,4,4,50.0%,$634.30,$79.29
2025-06-24,9,2,7,22.2%,$128.67,$14.30
2025-06-25,7,2,5,28.6%,$16.29,$2.33
2025-06-26,8,3,5,37.5%,$225.17,$28.15
2025-06-27,5,5,0,100.0%,$763.22,$152.64
2025-06-30,5,1,4,20.0%,$-106.89,$-21.38
2025-07-01,6,2,4,33.3%,$253.77,$42.30
2025-07-02,2,2,0,100.0%,$482.57,$241.29
2025-07-03,7,1,6,14.3%,$-58.23,$-8.32
2025-07-04,3,0,3,0.0%,$-118.50,$-39.50
2025-07-07,13,4,9,30.8%,$-114.93,$-8.84
2025-07-08,7,4,3,57.1%,$690.54,$98.65
2025-07-09,3,1,2,33.3%,$116.89,$38.96
2025-07-10,6,2,4,33.3%,$31.44,$5.24
2025-07-11,9,3,6,33.3%,$275.93,$30.66
2025-07-14,2,1,1,50.0%,$11.45,$5.73
2025-07-15,8,5,3,62.5%,$926.08,$115.76
2025-07-16,13,6,7,46.2%,$766.76,$58.98
2025-07-17,6,3,3,50.0%,$299.62,$49.94
2025-07-18,7,2,5,28.6%,$-113.99,$-16.28
2025-07-21,10,3,7,30.0%,$339.85,$33.98
2025-07-22,8,4,4,50.0%,$267.44,$33.43
2025-07-23,10,3,7,30.0%,$17.74,$1.77
2025-07-24,1,1,0,100.0%,$301.90,$301.90
2025-07-25,1,1,0,100.0%,$153.38,$153.38
2025-07-28,3,0,3,0.0%,$-195.42,$-65.14
2025-07-29,9,1,8,11.1%,$-319.24,$-35.47
2025-07-30,13,4,9,30.8%,$318.31,$24.49
2025-07-31,14,6,8,42.9%,$692.03,$49.43
2025-08-01,9,5,4,55.6%,$624.01,$69.33
2025-08-04,6,1,5,16.7%,$-119.00,$-19.83
2025-08-05,9,3,6,33.3%,$341.37,$37.93
2025-08-06,6,4,2,66.7%,$837.96,$139.66
2025-08-07,14,3,11,21.4%,$-144.76,$-10.34
2025-08-08,10,2,8,20.0%,$157.64,$15.76
2025-08-11,8,4,4,50.0%,$731.44,$91.43
2025-08-12,10,6,4,60.0%,"$1,229.90",$122.99
2025-08-13,6,3,3,50.0%,$594.03,$99.00
2025-08-14,10,3,7,30.0%,$413.60,$41.36
2025-08-15,10,3,7,30.0%,$395.86,$39.59
2025-08-18,3,0,3,0.0%,$-191.10,$-63.70
2025-08-19,15,5,10,33.3%,$369.64,$24.64
2025-08-20,3,2,1,66.7%,$499.36,$166.45
2025-08-21,13,5,8,38.5%,$-6.41,$-0.49
2025-08-22,6,3,3,50.0%,$366.56,$61.09
2025-08-25,6,4,2,66.7%,$798.59,$133.10
2025-08-26,3,1,2,33.3%,$133.04,$44.35
2025-08-27,11,4,7,36.4%,$294.70,$26.79
2025-08-28,6,3,3,50.0%,$561.33,$93.55
2025-08-29,16,5,11,31.2%,$395.88,$24.74
2025-09-01,5,0,5,0.0%,$-148.20,$-29.64
2025-09-02,10,4,6,40.0%,$466.37,$46.64
2025-09-03,8,3,5,37.5%,$198.03,$24.75
2025-09-04,7,4,3,57.1%,$828.96,$118.42
2025-09-05,11,5,6,45.5%,$231.63,$21.06
2025-09-08,5,2,3,40.0%,$281.88,$56.38
2025-09-09,3,2,1,66.7%,$300.85,$100.28
2025-09-10,4,2,2,50.0%,$163.08,$40.77
2025-09-11,6,2,4,33.3%,$-27.03,$-4.50
2025-09-12,7,2,5,28.6%,$102.03,$14.58
2025-09-15,5,2,3,40.0%,$299.39,$59.88
2025-09-16,4,1,3,25.0%,$-157.04,$-39.26
2025-09-17,4,2,2,50.0%,$540.55,$135.14
2025-09-18,10,5,5,50.0%,$818.12,$81.81
2025-09-19,4,2,2,50.0%,$189.22,$47.30
2025-09-22,5,3,2,60.0%,$735.09,$147.02
2025-09-23,10,3,7,30.0%,$16.72,$1.67
2025-09-24,12,3,9,25.0%,$270.78,$22.57
2025-09-25,13,6,7,46.2%,$773.69,$59.51
2025-09-26,7,2,5,28.6%,$-336.91,$-48.13
2025-09-29,8,3,5,37.5%,$180.25,$22.53
2025-09-30,10,3,7,30.0%,$370.94,$37.09
2025-10-01,9,4,5,44.4%,$475.59,$52.84
2025-10-02,10,3,7,30.0%,$-63.15,$-6.32
2025-10-03,8,4,4,50.0%,$745.45,$93.18
2025-10-06,3,1,2,33.3%,$88.36,$29.45
2025-10-07,12,6,6,50.0%,$682.33,$56.86
2025-10-08,7,3,4,42.9%,$376.06,$53.72
2025-10-09,11,4,7,36.4%,$14.41,$1.31
2025-10-10,21,9,12,42.9%,$369.77,$17.61
2025-10-13,11,7,4,63.6%,"$1,242.34",$112.94
2025-10-14,11,3,8,27.3%,$-282.70,$-25.70
2025-10-15,15,7,8,46.7%,$897.27,$59.82
2025-10-16,21,10,11,47.6%,$438.79,$20.89
2025-10-17,14,9,5,64.3%,"$1,119.44",$79.96
2025-10-20,9,3,6,33.3%,$527.37,$58.60
2025-10-21,7,4,3,57.1%,$628.06,$89.72
2025-10-22,10,7,3,70.0%,"$1,444.59",$144.46
2025-10-23,17,4,13,23.5%,$-89.31,$-5.25
2025-10-24,6,2,4,33.3%,$195.72,$32.62
2025-10-27,4,2,2,50.0%,$374.11,$93.53
2025-10-28,7,4,3,57.1%,$817.07,$116.72
2025-10-29,6,2,4,33.3%,$127.21,$21.20
2025-10-30,13,4,9,30.8%,$298.38,$22.95
2025-10-31,18,12,6,66.7%,"$2,531.96",$140.66
2025-11-03,13,4,9,30.8%,$128.58,$9.89
2025-11-04,18,7,11,38.9%,$782.83,$43.49
2025-11-05,16,7,9,43.8%,$933.22,$58.33
2025-11-06,18,9,9,50.0%,$887.96,$49.33
2025-11-07,16,10,6,62.5%,"$1,569.45",$98.09
2025-11-10,16,5,11,31.2%,$85.97,$5.37
2025-11-11,11,5,6,45.5%,$768.01,$69.82
2025-11-12,12,6,6,50.0%,$622.29,$51.86
2025-11-13,20,8,12,40.0%,$-277.00,$-13.85
2025-11-14,18,11,7,61.1%,"$2,345.54",$130.31
2025-11-17,20,13,7,65.0%,"$1,972.58",$98.63
2025-11-18,20,13,7,65.0%,"$2,563.73",$128.19
2025-11-19,9,4,5,44.4%,$581.05,$64.56
2025-11-20,21,13,8,61.9%,"$2,082.39",$99.16
2025-11-21,18,10,8,55.6%,"$1,656.02",$92.00
2025-11-24,16,5,11,31.2%,$17.08,$1.07
2025-11-25,13,6,7,46.2%,"$1,056.46",$81.27
2025-11-26,5,4,1,80.0%,"$1,223.66",$244.73
2025-11-27,1,0,1,0.0%,$-36.07,$-36.07
2025-11-28,6,2,4,33.3%,$353.42,$58.90
2025-12-01,13,5,8,38.5%,$-154.16,$-11.86
2025-12-02,13,6,7,46.2%,$671.66,$51.67
2025-12-03,3,2,1,66.7%,$239.54,$79.85
2025-12-04,9,4,5,44.4%,$660.26,$73.36
2025-12-05,15,2,13,13.3%,$-425.69,$-28.38
2025-12-08,11,7,4,63.6%,"$1,277.71",$116.16
2025-12-09,5,3,2,60.0%,$546.68,$109.34
2025-12-10,16,3,13,18.8%,$-964.22,$-60.26
2025-12-11,9,4,5,44.4%,$403.71,$44.86
2025-12-12,10,4,6,40.0%,$221.21,$22.12
2025-12-15,11,4,7,36.4%,$451.04,$41.00
2025-12-16,7,5,2,71.4%,"$1,199.48",$171.35
2025-12-17,9,4,5,44.4%,$611.88,$67.99
2025-12-18,14,6,8,42.9%,$641.01,$45.79
2025-12-19,8,4,4,50.0%,$484.97,$60.62
2025-12-22,8,0,8,0.0%,$-452.85,$-56.61
2025-12-23,4,2,2,50.0%,$336.77,$84.19
2025-12-24,3,1,2,33.3%,$252.89,$84.30
2025-12-26,3,0,3,0.0%,$-252.61,$-84.20
2025-12-29,1,1,0,100.0%,$92.82,$92.82
2025-12-30,5,1,4,20.0%,$135.60,$27.12
2025-12-31,3,2,1,66.7%,$301.09,$100.36
